# Copyright (c) 1966-2021 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2021-08-29
# Phenotypic Series Number	MIM Number	Phenotype
PS100070	Aortic aneurysm, familial abdominal
PS112240	112240	Cole-Carpenter syndrome 1
PS112240	616294	Cole-Carpenter syndrome 2
PS113700	Breasts and/or nipples, aplasia or hypoplasia of
PS113700	113700	Breasts and/or nipples, aplasia of hypoplasia of, 1
PS113700	616001	?Breasts and/or nipples, aplasia or hypoplasia of, 2
PS113900	Progressive familial heart block
PS113900	113900	Heart block, nonprogressive
PS113900	113900	Heart block, progressive, type IA
PS113900	140400	Progressive familial heart block, type II
PS113900	604559	Progressive familial heart block, type IB
PS114580	Familial candidiasis
PS114580	114580	Candidiasis, familial, 1, autosomal dominant
PS114580	212050	Candidiasis, familial, 2, autosomal recessive
PS114580	607644	Candidiasis, familial, 3
PS114580	613108	Candidiasis, familial, 4, autosomal recessive
PS114580	613956	?Candidiasis, familial, 6, autosomal dominant
PS114580	614162	Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant
PS114580	615527	?Candidiasis, familial, 8
PS114580	616445	Candidiasis, familial, 9
PS115150	Cardiofaciocutaneous syndrome
PS115150	115150	Cardiofaciocutaneous syndrome
PS115150	615278	Cardiofaciocutaneous syndrome 2
PS115150	615279	Cardiofaciocutaneous syndrome 3
PS115150	615280	Cardiofaciocutaneous syndrome 4
PS115200	Dilated cardiomyopathy
PS115200	115200	Cardiomyopathy, dilated, 1A
PS115200	302045	Cardiomyopathy, dilated, 3B
PS115200	600884	Cardiomyopathy, dilated 1B
PS115200	601154	Cardiomyopathy, dilated, 1E
PS115200	601493	Cardiomyopathy, dilated, 1C, with or without LVNC
PS115200	601493	Left ventricular noncompaction 3
PS115200	601493	Cardiomyopathy, hypertrophic, 24
PS115200	601494	Cardiomyopathy, dilated, 1D
PS115200	601494	Left ventricular noncompaction 6
PS115200	604145	Cardiomyopathy, dilated, 1G
PS115200	604288	Cardiomyopathy, dilated, 1H
PS115200	604765	Cardiomyopathy, dilated, 1I
PS115200	605362	?Cardiomyopathy, dilated, 1J
PS115200	605582	Cardiomyopathy, dilated, 1K
PS115200	606685	Cardiomyopathy, dilated, 1L
PS115200	607482	?Cardiomyopathy, dilated, 1M
PS115200	608569	Cardiomyopathy, dilated, 1O
PS115200	609909	Cardiomyopathy, dilated, 1P
PS115200	609915	Cardiomyopathy, dilated, 1Q
PS115200	611407	Cardiomyopathy, dilated, 1W
PS115200	611615	Cardiomyopathy, dilated, 1X
PS115200	611878	Left ventricular noncompaction 9
PS115200	611878	Cardiomyopathy, dilated, 1Y
PS115200	611879	Cardiomyopathy, dilated, 1Z
PS115200	611880	?Cardiomyopathy, dilated, 2A
PS115200	612158	Cardiomyopathy, hypertrophic, 23, with or without LVNC
PS115200	612158	Cardiomyopathy, dilated, 1AA, with or without LVNC
PS115200	612877	Cardiomyopathy, dilated, 1BB
PS115200	613122	Cardiomyopathy, dilated, 1CC
PS115200	613172	Cardiomyopathy, dilated, 1DD
PS115200	613252	Cardiomyopathy, dilated, 1EE
PS115200	613286	Cardiomyopathy, dilated, 1FF
PS115200	613424	Left ventricular noncompaction 4
PS115200	613424	Cardiomyopathy, dilated, 1R
PS115200	613426	Left ventricular noncompaction 5
PS115200	613426	Cardiomyopathy, dilated, 1S
PS115200	613642	Cardiomyopathy, dilated, 1GG
PS115200	613694	Cardiomyopathy, dilated, 1U
PS115200	613697	Cardiomyopathy, dilated, 1V
PS115200	613881	Cardiomyopathy, dilated, 1HH
PS115200	614672	?Cardiomyopathy, dilated, 2B
PS115200	615184	Cardiomyopathy, dilated, 1II
PS115200	615235	Cardiomyopathy, dilated, 1JJ
PS115200	615248	Cardiomyopathy, dilated, 1KK
PS115200	615248	Cardiomyopathy, hypertrophic, 22
PS115200	615248	Cardiomyopathy, familial restrictive, 4
PS115200	615373	Left ventricular noncompaction 8
PS115200	615373	Cardiomyopathy, dilated, 1LL
PS115200	615396	Cardiomyopathy, dilated, 1MM
PS115200	615396	Left ventricular noncompaction 10
PS115200	615916	Cardiomyopathy, dilated, 1NN
PS115200	618189	Cardiomyopathy, dilated, 2C
PS115200	619371	Cardiomyopathy, dilated, 2D
PS115200	619492	Cardiomyopathy, dilated, 2E
PS115210	Familial restrictive cardiomyopathy
PS115210	115210	Cardiomyopathy, familial restrictive, 1
PS115210	609578	Cardiomyopathy, familial restrictive, 2
PS115210	612422	Cardiomyopathy, familial restrictive, 3
PS115210	615248	Cardiomyopathy, familial restrictive, 4
PS115210	615248	Cardiomyopathy, dilated, 1KK
PS115210	615248	Cardiomyopathy, hypertrophic, 22
PS115210	617047	Cardiomyopathy, familial restrictive 5
PS115210	617047	Cardiomyopathy, familial hypertrophic, 26
PS115210	619433	?Cardiomyopathy, familial restrictive, 6
PS115430	Carpal tunnel syndrome
PS115430	115430	Carpal tunnel syndrome, familial
PS115430	619161	Carpal tunnel syndrome 2
PS116200	Cataract
PS116200	115650	Cataract 32, multiple types
PS116200	115660	Cataract 7
PS116200	115665	Cataract 8, multiple types
PS116200	115700	Cataract 4, multiple types
PS116200	115800	Cataract 29, coralliform
PS116200	115900	?Cataract 42
PS116200	116100	Cataract 20, multiple types
PS116200	116200	Cataract 1, multiple types
PS116200	116300	Cataract 30, pulverulent
PS116200	116400	?Cataract 41
PS116200	116600	Cataract 6, multiple types
PS116200	116700	Cataract 13 with adult i phenotype
PS116200	116800	Cataract 5, multiple types
PS116200	212500	Cataract 46, juvenile-onset
PS116200	302200	Cataract 40, X-linked
PS116200	600881	Cataract 10, multiple types
PS116200	601202	Cataract 24, anterior polar
PS116200	601547	Cataract 3, multiple types
PS116200	601885	Cataract 14, multiple types
PS116200	604219	Cataract 9, multiple types
PS116200	604307	Cataract 2, multiple types
PS116200	605387	Cataract 31, multiple types
PS116200	605728	Cataract 25
PS116200	605749	Cataract 26, multiple types
PS116200	607304	Cataract 27, nuclear progressive
PS116200	609026	{Cataract 28, age-related cortical, susceptibility to}
PS116200	609376	Cataract 35, congenital nuclear
PS116200	609741	Cataract 22
PS116200	610019	Cataract 18, autosomal recessive
PS116200	610202	Cataract 21, multiple types
PS116200	610425	Cataract 23
PS116200	610623	Cataract 11, multiple types
PS116200	610623	Cataract 11, syndromic, autosomal recessive
PS116200	611391	Cataract 33, multiple types
PS116200	611544	Cataract 17, multiple types
PS116200	611597	Cataract 12, multiple types
PS116200	612018	Cataract 47, juvenile, with microcornea
PS116200	612968	Cataract 34, multiple types
PS116200	613763	Cataract 16, multiple types
PS116200	613887	Cataract 36
PS116200	614422	Cataract 37, autosomal dominant
PS116200	614691	Cataract 38, autosomal recessive
PS116200	615188	Cataract 39, multiple types, autosomal dominant
PS116200	615274	Cataract 15, multiple types
PS116200	615277	Cataract 19, multiple types
PS116200	616279	?Cataract 43
PS116200	616509	Cataract 44
PS116200	616851	?Cataract 45
PS116200	618415	Cataract 48
PS116860	Cerebral cavernous malformations
PS116860	116860	Cavernous malformations of CNS and retina
PS116860	116860	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations
PS116860	116860	Cerebral cavernous malformations-1
PS116860	603284	Cerebral cavernous malformations-2
PS116860	603285	Cerebral cavernous malformations 3
PS117550	Sotos syndrome
PS117550	117550	Sotos syndrome 1
PS117550	614753	Sotos syndrome 2
PS117550	617169	?Sotos syndrome 3
PS118100	Klippel-Feil syndrome
PS118100	118100	Klippel-Feil syndrome 1, autosomal dominant
PS118100	214300	Klippel-Feil syndrome 2
PS118100	613702	Klippel-Feil syndrome 3, autosomal dominant
PS118100	616549	Klippel-Feil syndrome 4, autosomal recessive, with myopathy and facial dysmorphism
PS118220	Charcot-Marie-Tooth disease
PS118220	118200	Charcot-Marie-Tooth disease, type 1B
PS118220	118210	Charcot-Marie-Tooth disease, type 2A1
PS118220	118220	Charcot-Marie-Tooth disease, type 1A
PS118220	118300	Charcot-Marie-Tooth disease, type 1E
PS118220	145900	Dejerine-Sottas disease
PS118220	214400	Charcot-Marie-Tooth disease, type 4A
PS118220	300905	?Charcot-Marie-Tooth disease, X-linked dominant, 6
PS118220	302800	Charcot-Marie-Tooth neuropathy, X-linked dominant, 1
PS118220	302801	Charcot-Marie-Tooth neuropathy, X-linked recessive, 2
PS118220	302802	Charcot-Marie-Tooth neuropathy, X-linked recessive, 3
PS118220	310490	Cowchock syndrome
PS118220	311070	Charcot-Marie-Tooth disease, X-linked recessive, 5
PS118220	600882	Charcot-Marie-Tooth disease, type 2B
PS118220	601098	Charcot-Marie-Tooth disease, type 1C
PS118220	601152	Hereditary motor and sensory neuropathy VIA
PS118220	601382	Charcot-Marie-Tooth disease, type 4B1
PS118220	601455	Charcot-Marie-Tooth disease, type 4D
PS118220	601472	Charcot-Marie-Tooth disease, type 2D
PS118220	601596	Charcot-Marie-Tooth disease, type 4C
PS118220	604563	Charcot-Marie-Tooth disease, type 4B2
PS118220	605253	Hypomyelinating neuropathy, congenital, 1
PS118220	605285	Neuropathy, hereditary motor and sensory, Russe type
PS118220	605588	Charcot-Marie-Tooth disease, type 2B1
PS118220	605589	?Charcot-Marie-Tooth disease, type 2B2
PS118220	606071	Hereditary motor and sensory neuropathy, type IIc
PS118220	606482	Charcot-Marie-Tooth disease, axonal type 2M
PS118220	606482	Charcot-Marie-Tooth disease, dominant intermediate B
PS118220	606483	Charcot-Marie-Tooth disease, dominant intermediate A
PS118220	606595	Charcot-Marie-Tooth disease, axonal, type 2F
PS118220	607677	Charcot-Marie-Tooth disease, type 2I
PS118220	607678	Charcot-Marie-Tooth disease, type 1D
PS118220	607684	Charcot-Marie-Tooth disease, type 2E
PS118220	607706	Charcot-Marie-Tooth disease, axonal, with vocal cord paresis
PS118220	607731	Charcot-Marie-Tooth disease, axonal, type 2H
PS118220	607734	Charcot-Marie-Tooth disease, type 1F
PS118220	607736	Charcot-Marie-Tooth disease, type 2J
PS118220	607791	Charcot-Marie-Tooth disease, dominant intermediate D
PS118220	607831	Charcot-Marie-Tooth disease, axonal, type 2K
PS118220	607831	?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K
PS118220	608323	Charcot-Marie-Tooth disease, dominant intermediate C
PS118220	608340	Charcot-Marie-Tooth disease, recessive intermediate, A
PS118220	608673	Charcot-Marie-Tooth disease, axonal, type 2L
PS118220	609260	Charcot-Marie-Tooth disease, axonal, type 2A2A
PS118220	609311	Charcot-Marie-Tooth disease, type 4H
PS118220	611228	Charcot-Marie-Tooth disease, type 4J
PS118220	613287	Charcot-Marie-Tooth disease, axonal, type 2N
PS118220	613641	?Charcot-Marie-Tooth disease, recessive intermediate, B
PS118220	614228	Charcot-Marie-Tooth disease, axonal, type 20
PS118220	614436	Charcot-Marie-Tooth disease, axonal, type 2P
PS118220	614455	Charcot-Marie-Tooth disease, dominant intermediate E
PS118220	614895	Charcot-Marie-Tooth disease, type 4F
PS118220	615025	?Charcot-Marie-Tooth disease, axonal, type 2Q
PS118220	615185	Charcot-Marie-Tooth disease, dominant intermediate F
PS118220	615284	Charcot-Marie-Tooth disease, type 4B3
PS118220	615376	Charcot-Marie-Tooth disease, recessive intermediate C
PS118220	615490	Charcot-Marie-Tooth disease, type 2R
PS118220	616039	Charcot-Marie-Tooth disease, recessive intermediate D
PS118220	616155	Charcot-Marie-Tooth disease, axonal, type 2S
PS118220	616280	Charcot-Marie-Tooth disease, axonal, type 2U
PS118220	616491	?Charcot-Marie-Tooth disease, axonal, type 2V
PS118220	616625	Charcot-Marie-Tooth disease, axonal, type 2W
PS118220	616668	Charcot-Marie-Tooth disease, axonal, type 2X
PS118220	616684	Charcot-Marie-Tooth disease, type 4K
PS118220	616687	Charcot-Marie-Tooth disease, type 2Y
PS118220	616688	Charcot-Marie-Tooth disease, axonal, type 2Z
PS118220	616924	Charcot-Marie-Tooth disease, axonal, type 2CC
PS118220	617017	Charcot-Marie-Tooth disease, axonal, type 2T
PS118220	617087	Charcot-Marie-Tooth disease, axonal, type 2A2B
PS118220	617882	Charcot-Marie-Tooth disease, dominant intermediate G
PS118220	618036	Charcot-Marie-Tooth disease, axonal, type 2DD
PS118220	618279	Charcot-Marie-Tooth disease, demyelinating, type 1G
PS118220	618400	Charcot-Marie-Tooth disease, axonal, type 2EE
PS118450	Alagille syndrome
PS118450	118450	Alagille syndrome 1
PS118450	610205	Alagille syndrome 2
PS119530	Orofacial cleft
PS119530	119530	Orofacial cleft-1
PS119530	225060	Cleft lip/palate-ectodermal dysplasia syndrome
PS119530	225060	Orofacial cleft 7
PS119530	600625	Orofacial cleft 11
PS119530	600757	Orofacial cleft 3
PS119530	602966	Orofacial cleft 2
PS119530	608371	Orofacial cleft 4
PS119530	608864	{Orofacial cleft 6}
PS119530	608874	Orofacial cleft 5
PS119530	610361	Orofacial cleft 9
PS119530	612858	Orofacial cleft 12
PS119530	613705	?Orofacial cleft 10
PS119530	613857	Orofacial cleft 13
PS119530	615892	Orofacial cleft 14
PS119530	616788	?Orofacial cleft 15
PS119530	618149	Orofacial cleft 8
PS119580	Blepharocheilodontic syndrome
PS119580	119580	Blepharocheilodontic syndrome 1
PS119580	617681	Blepharocheilodontic syndrome 2
PS120100	Familial cold autoinflammatory syndrome
PS120100	120100	Familial cold inflammatory syndrome 1
PS120100	611762	Familial cold autoinflammatory syndrome 2
PS120100	614468	Familial cold autoinflammatory syndrome 3
PS120100	616115	?Familial cold autoinflammatory syndrome 4
PS120435	Colorectal cancer, hereditary nonpolyposis
PS120435	120435	Colorectal cancer, hereditary nonpolyposis, type 1
PS120435	609310	Colorectal cancer, hereditary nonpolyposis, type 2
PS120435	613244	Colorectal cancer, hereditary nonpolyposis, type 8
PS120435	614331	Colorectal cancer, hereditary nonpolyposis, type 6
PS120435	614337	Colorectal cancer, hereditary nonpolyposis, type 4
PS120435	614350	Colorectal cancer, hereditary nonpolyposis, type 5
PS120435	614385	Colorectal cancer, hereditary nonpolyposis, type 7
PS120970	Cone-rod dystrophy/Cone dystrophy
PS120970	120970	Cone-rod retinal dystrophy-2
PS120970	300085	Cone dystrophy, progressive X-linked, 2
